Rentree_Scolaire,Region,Academie,Departement,Commune,Numero_Du_College,Denomination_Principale,Patronyme,Secteur,Nombre_D_Eleves_Total,PRIVE,PUBLIC,priporitaire
2022,NORMANDIE,NORMANDIE,ORNE,ECOUCHE-LES-VALLEES,0610016L,COLLEGE,GEORGES BRASSENS,PUBLIC,238,0,1,0
2022,NORMANDIE,NORMANDIE,ORNE,FLERS,0610698C,LYCEE POLYVALENT PRIVE,SAINT THOMAS D'AQUIN,PRIVE,17,1,0,0
2022,NORMANDIE,NORMANDIE,ORNE,GIEL-COURTEILLES,0610724F,LYCEE PROFESSIONNEL PRIVE,GIEL DON BOSCO,PRIVE,13,1,0,0
2022,NORMANDIE,NORMANDIE,ORNE,LA FERTE MACE,0610709P,COLLEGE PRIVE,NOTRE-DAME,PRIVE,291,1,0,0
2022,NORMANDIE,NORMANDIE,ORNE,L'AIGLE,0610691V,COLLEGE PRIVE,FOCH,PRIVE,342,1,0,0
2022,NORMANDIE,NORMANDIE,ORNE,LE MELE-SUR-SARTHE,0610031C,COLLEGE,LOUIS GRENIER,PUBLIC,278,0,1,0
2022,NORMANDIE,NORMANDIE,ORNE,LONGNY LES VILLAGES,0610739X,COLLEGE,FELIX LECLERC,PUBLIC,157,0,1,0
2022,NORMANDIE,NORMANDIE,ORNE,PUTANGES-LE-LAC,0610037J,COLLEGE,GASTON LEFAVRAIS,PUBLIC,191,0,1,0
2022,NORMANDIE,NORMANDIE,ORNE,SEES,0611095J,COLLEGE PRIVE,MARIE IMMACULEE,PRIVE,236,1,0,0
2022,NORMANDIE,NORMANDIE,SEINE MARITIME,AUMALE,0762107C,COLLEGE,HENRY DUNANT,PUBLIC,246,0,1,0
2022,NORMANDIE,NORMANDIE,SEINE MARITIME,BACQUEVILLE-EN-CAUX,0760004S,COLLEGE,GUY DE MAUPASSANT,PUBLIC,293,0,1,0
2022,NORMANDIE,NORMANDIE,SEINE MARITIME,BARENTIN,0760007V,LYCEE PROFESSIONNEL,AUGUSTE BARTHOLDI,PUBLIC,24,0,1,0
2022,NORMANDIE,NORMANDIE,SEINE MARITIME,BARENTIN,0762286X,COLLEGE,CATHERINE BERNARD,PUBLIC,519,0,1,0
2022,NORMANDIE,NORMANDIE,SEINE MARITIME,BARENTIN,0762764S,COLLEGE,ANDRE MARIE,PUBLIC,597,0,1,0
2022,NORMANDIE,NORMANDIE,SEINE MARITIME,BOLBEC,0761701L,COLLEGE,RONCHEROLLES,PUBLIC,640,0,1,1
2022,NORMANDIE,NORMANDIE,SEINE MARITIME,BOLBEC,0761725M,COLLEGE PRIVE,SAINTE GENEVIEVE,PRIVE,414,1,0,0
2022,NORMANDIE,NORMANDIE,SEINE MARITIME,DIEPPE,0760024N,LYCEE PROFESSIONNEL,EMULATION DIEPPOISE,PUBLIC,24,0,1,0
2022,NORMANDIE,NORMANDIE,SEINE MARITIME,DIEPPE,0762225F,COLLEGE,ALEXANDRE DUMAS,PUBLIC,559,0,1,0
2022,NORMANDIE,NORMANDIE,SEINE MARITIME,EU,0762170W,COLLEGE,LOUIS-PHILIPPE,PUBLIC,577,0,1,0
2022,NORMANDIE,NORMANDIE,SEINE MARITIME,FORGES-LES-EAUX,0762600N,LYCEE POLYVALENT,EDOUARD DELAMARE DEBOUTTEVILLE,PUBLIC,24,0,1,0
2022,NORMANDIE,NORMANDIE,SEINE MARITIME,GRAND-COURONNE,0762836V,LYCEE PROFESSIONNEL,FERNAND LEGER,PUBLIC,24,0,1,0
2022,NORMANDIE,NORMANDIE,SEINE MARITIME,LA FEUILLIE,0762177D,COLLEGE,LA HETRAIE,PUBLIC,271,0,1,0
2022,NORMANDIE,NORMANDIE,SEINE MARITIME,LE GRAND-QUEVILLY,0760049R,COLLEGE,CLAUDE BERNARD,PUBLIC,385,0,1,0
2022,NORMANDIE,NORMANDIE,SEINE MARITIME,LE GRAND-QUEVILLY,0762093M,COLLEGE,EDOUARD BRANLY,PUBLIC,467,0,1,0
2022,NORMANDIE,NORMANDIE,SEINE MARITIME,LE HAVRE,0760062E,LP LYCEE DES METIERS,JULES LE CESNE,PUBLIC,24,0,1,0
2022,NORMANDIE,NORMANDIE,SEINE MARITIME,LE HAVRE,0761328F,COLLEGE PRIVE,SACRE-COEUR,PRIVE,386,1,0,0
2022,NORMANDIE,NORMANDIE,SEINE MARITIME,LE HAVRE,0761699J,COLLEGE,IRENE JOLIOT-CURIE,PUBLIC,499,0,1,0
2022,NORMANDIE,NORMANDIE,SEINE MARITIME,LE HAVRE,0761781Y,COLLEGE,JEAN MOULIN,PUBLIC,387,0,1,1
2022,NORMANDIE,NORMANDIE,SEINE MARITIME,LE HAVRE,0762564Z,COLLEGE PRIVE,SAINT JOSEPH,PRIVE,1133,1,0,0
2022,NORMANDIE,NORMANDIE,SEINE MARITIME,LE HAVRE,0763500S,LYCEE POLYVALENT PRIVE,SAINT VINCENT DE PAUL,PRIVE,20,1,0,0
2022,NORMANDIE,NORMANDIE,SEINE MARITIME,LE HOULME,0761746K,COLLEGE,JEAN ZAY,PUBLIC,508,0,1,0
2022,NORMANDIE,NORMANDIE,SEINE MARITIME,LE MESNIL-ESNARD,0762565A,COLLEGE PRIVE,LA PROVIDENCE,PRIVE,626,1,0,0
2022,NORMANDIE,NORMANDIE,SEINE MARITIME,LILLEBONNE,0762289A,COLLEGE,PIERRE MENDES-FRANCE,PUBLIC,656,0,1,0
2022,NORMANDIE,NORMANDIE,SEINE MARITIME,RIVES-EN-SEINE,0762084C,COLLEGE,VICTOR HUGO,PUBLIC,580,0,1,0
2022,NORMANDIE,NORMANDIE,SEINE MARITIME,ROUEN,0761717D,COLLEGE PRIVE,INSTITUTION SAINT FRANCOIS D'A,PRIVE,263,1,0,0
